ev_id,connection_minutes_5min,required_soc_percent
1258,110,22.38
1259,129,11.794
1260,117,36.0
1261,115,100.0
1262,106,32.0
1263,86,48.0
1264,155,64.0
1265,93,8.21
1266,120,40.0
1267,124,30.25
1268,140,48.0
1269,105,95.0
1270,112,40.0
1271,111,5.732
1272,86,20.0
1273,73,18.0
1274,71,24.0
1275,75,34.792
1276,63,25.182
1277,54,34.782
1278,59,14.188
1279,39,25.0
1280,58,50.0
1281,22,8.476
1282,40,8.956
1283,28,27.202
1284,26,13.92
1285,27,20.416
1286,24,15.638
1287,37,17.788
1288,18,54.6
1289,8,5.224
1290,16,30.0
1291,34,30.4
1292,11,9.82
1293,65,20.0
1294,96,40.0
1295,135,13.32
1296,117,40.0
1297,128,34.838
1298,70,16.0
1299,123,32.0
1300,107,23.674
1301,104,48.0
1302,110,40.0
1303,54,11.162
1304,135,7.0
1305,116,37.56
1306,95,37.5
1307,111,36.0
1308,133,21.31
1309,108,34.816
1310,59,48.0
1311,121,24.506
1312,104,21.454
1313,115,24.0
1314,119,34.866
1315,116,26.64
1316,153,100.0
1317,124,24.0
1318,111,10.0
1319,110,47.34
1320,62,34.762
1321,136,30.25
1322,110,36.0
1323,115,40.0
1324,93,32.0
1325,86,57.12
1326,135,64.0
1327,120,32.0
1328,122,24.0
1329,110,5.55
1330,113,67.5
1331,118,20.3
1332,91,19.98
1333,90,6.66
1334,119,34.798
1335,116,33.3
1336,52,16.0
1337,111,40.0
1338,112,16.0
1339,111,18.0
1340,117,32.0
1341,58,40.92
1342,178,34.99
1343,113,34.804
1344,112,17.982
1345,63,34.798
1346,63,40.0
1347,53,29.84
1348,81,81.0
1349,42,28.924
1350,71,16.0
1351,59,18.684
1352,34,25.28
1353,65,20.0
1354,14,7.384
1355,15,15.04
1356,52,30.4
1357,28,100.0
1358,48,4.676
1359,22,16.426
1360,35,11.404
1361,46,25.012
1362,7,3.596
1363,50,20.0
1364,104,40.0
1365,129,13.32
1366,160,48.0
1367,128,36.0
1368,96,40.0
1369,121,32.0
1370,111,29.384
1371,113,40.0
1372,111,23.97
1373,58,10.662
1374,112,34.82
1375,115,37.56
1376,112,36.0
1377,126,24.0
1378,125,48.0
1379,125,24.446
1380,103,18.47
1381,6,4.988
1382,93,65.0
1383,113,100.0
1384,110,25.152
1385,97,26.64
1386,143,13.888
1387,125,10.0
1388,69,5.576
1389,109,47.34
1390,107,54.56
1391,116,56.0
1392,100,32.0
1393,111,29.84
1394,116,24.0
1395,113,34.884
1396,124,7.0
1397,115,60.0
1398,116,32.0
1399,79,30.436
1400,106,40.0
1401,110,48.0
1402,133,48.0
1403,96,33.3
1404,120,17.692
1405,141,11.258
1406,112,38.92
1407,36,16.0
1408,126,100.0
1409,43,21.158
1410,99,84.0
1411,94,40.0
1412,106,34.26
1413,26,16.0
1414,107,100.0
1415,76,25.0
1416,60,26.64
1417,46,40.0
1418,93,16.0
1419,37,70.0
1420,41,2.0
1421,10,9.452
1422,77,30.4
1423,32,40.0
1424,33,70.98
1425,53,9.756
1426,48,22.186
1427,30,32.0
1428,17,9.674
1429,20,15.726
1430,20,100.0
1431,26,14.068
1432,69,20.0
1433,26,7.49
1434,110,24.268
1435,131,13.32
1436,117,40.0
1437,109,26.134
1438,116,40.0
1439,57,10.848
1440,80,26.032
1441,101,7.0
1442,56,37.56
1443,117,32.0
1444,105,57.12
1445,112,36.0
1446,128,30.228
1447,120,24.0
1448,134,33.3
1449,128,33.0
1450,112,36.0
1451,138,100.0
1452,115,48.0
1453,114,13.662
1454,86,15.0
1455,68,40.0
1456,110,10.184
1457,118,45.0
1458,7,100.0
1459,120,100.0
1460,104,12.812
1461,96,28.32
1462,97,11.12
1463,107,30.25
1464,108,47.34
1465,97,19.98
1466,51,20.27
1467,118,32.0
1468,51,80.0
1469,98,40.92
1470,76,40.0
1471,119,8.086
1472,41,48.0
1473,39,20.0
1474,114,30.0
1475,106,100.0
1476,44,53.28
1477,107,16.0
1478,98,60.0
1479,79,20.0
1480,85,24.0
1481,112,45.0
1482,118,30.0
1483,32,60.0
1484,49,16.0
1485,113,16.0
1486,67,24.0
1487,66,70.0
1488,34,2.022
1489,75,19.096
1490,66,40.0
1491,57,39.96
1492,43,6.848
1493,50,40.0
1494,40,7.96
1495,42,100.0
1496,41,25.84
1497,34,24.0
1498,5,5.2
1499,16,15.88
1500,16,14.606
1501,64,16.0
1502,25,18.0
1503,2,1.176
1504,69,20.0
1505,147,11.148
1506,60,13.32
1507,109,23.376
1508,119,40.0
1509,122,27.464
1510,122,23.088
1511,104,17.454
1512,140,10.0
1513,97,32.0
1514,64,96.0
1515,98,80.0
1516,112,15.426
1517,17,14.346
1518,80,11.044
1519,61,11.652
1520,41,40.0
1521,52,15.796
1522,17,9.266
1523,77,34.766
1524,70,30.25
1525,18,19.98
1526,56,34.77
1527,60,48.0
1528,31,19.916
1529,29,19.98
1530,24,24.036
1531,7,7.642
1532,30,17.76
1533,107,42.5
1534,31,30.25
1535,15,17.76
1536,45,70.0
1537,42,25.562
1538,42,9.82
1539,39,31.994
1540,24,80.0
1541,132,13.32
1542,117,40.0
1543,163,48.0
1544,76,24.866
1545,103,36.618
1546,55,11.026
1547,122,37.5
1548,114,37.56
1549,109,36.0
1550,88,16.5
1551,131,20.3
1552,122,24.0
1553,101,35.7
1554,127,24.102
1555,109,24.0
1556,121,56.0
1557,153,100.0
1558,109,24.466
1559,122,100.0
1560,111,7.85
1561,118,13.288
1562,111,96.0
1563,118,25.0
1564,107,10.32
1565,121,47.34
1566,110,13.292
1567,119,20.0
1568,117,40.696
1569,125,22.978
1570,51,35.176
1571,30,16.02
1572,140,12.534
1573,159,32.0
1574,115,100.0
1575,116,48.0
1576,115,40.0
1577,69,23.206
1578,128,30.25
1579,110,20.0
1580,51,20.46
1581,91,42.0
1582,118,100.0
1583,99,33.3
1584,104,33.3
1585,38,16.254
1586,136,100.0
1587,120,16.0
1588,106,16.0
1589,115,20.0
1590,132,34.884
1591,106,33.858
1592,104,9.744
1593,71,29.84
1594,73,40.0
1595,62,60.0
1596,63,25.142
1597,62,25.026
1598,51,36.4
1599,45,40.0
1600,58,42.84
1601,83,42.5
1602,36,12.92
1603,30,8.752
1604,89,20.0
1605,14,14.154
1606,82,40.0
1607,145,13.32
1608,118,40.0
1609,114,32.0
1610,120,57.12
1611,103,24.278
1612,118,21.216
1613,116,32.806
1614,139,11.548
1615,60,11.592
1616,69,14.27
1617,133,22.024
1618,111,34.86
1619,110,36.0
1620,35,16.0
1621,53,80.0
1622,121,24.0
1623,110,12.788
1624,101,25.49
1625,118,32.0
1626,94,32.0
1627,116,100.0
1628,112,36.0
1629,98,48.0
1630,116,34.814
1631,42,29.646
1632,60,34.792
1633,113,10.0
1634,123,30.25
1635,113,40.0
1636,83,19.98
1637,126,14.0
1638,119,40.0
1639,89,24.0
1640,129,20.0
1641,116,6.66
1642,86,47.74
1643,113,24.232
1644,102,35.0
1645,119,20.266
1646,132,16.884
1647,122,24.0
1648,46,60.0
1649,106,24.0
1650,101,19.98
1651,111,25.0
1652,107,8.66
1653,122,33.3
